"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","augmentation","dataset","epochs","lr","model","name","optimizer","valid_batch_size","model_load","Test Accuracy","Test Loss","Train Accuracy","Train Loss","Test Accuracyage","Test Accuracygender","Test Accuracymask","Test Lossage","Test Lossgender","Test Lossmask","Train Accuracyage","Train Accuracygender","Train Accuracymask","Train Lossage","Train Lossgender","Train Lossmask"
"Sampler_res18_e5_lr0001","2022-03-03T10:14:48.000Z","35","2022-03-03T10:15:23.000Z","1mg2gw1n","-","2022-03-03T10:15:23.000Z","","CustomAugmentation","CustomDataset","10","0.0001","Res18","Sampler_res18_e5_lr0001","Adam","64","","","","0.721875","1.3317593574523925","","","","","","","","","","","",""
"model/Sampler_res50_e10_lr0001_bs64_no223","2022-03-03T08:34:13.000Z","552","2022-03-03T08:43:25.000Z","36h3ykrz","-","2022-03-03T08:43:25.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res50_M2MultiLabel","Sampler_res50_e10_lr0001_bs64_no22","Adam","64","False","","","","","0.9104215456674472","0.9751170960187352","","0.2776301509068119","0.2679371423316452","","0.984375","0.9937500357627868","","0.04564318903721869","0.2505074568092823",""
"model/Sampler_res50_e10_lr0001_bs64_no222","2022-03-03T08:12:18.000Z","574","2022-03-03T08:21:52.000Z","34oazqw0","-","2022-03-03T08:21:52.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res50_M2MultiLabel","Sampler_res50_e10_lr0001_bs64_no22","Adam","64","False","","","","","0.9083723653395784","0.927400468384075","0.990632318501171","0.2814130215150005","0.5287534274020285","0.009023641811544844","0.971093773841858","0.936718761920929","1","0.17042939588427544","0.5160922840237617","0.00120364453541697"
"model/Sampler_res50_e10_lr0001_bs64_no22","2022-03-03T08:02:00.000Z","566","2022-03-03T08:11:26.000Z","z6oixmb9","-","2022-03-03T08:11:26.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res50_3MultiLabel","Sampler_res50_e10_lr0001_bs64_no2","Adam","64","False","","","","","0.9107142857142856","0.971311475409836","0.9909250585480094","0.28172690997708516","0.5304953945132921","0.009193562257832863","0.97265625","0.971875011920929","1","0.1853285506367683","0.5253625452518463","0.002248131146188826"
"Sampler_res50_e10_lr0001_bs64_no","2022-03-03T07:04:02.000Z","3072","2022-03-03T07:55:14.000Z","19olacas","-","2022-03-03T07:55:14.000Z","","CustomAugmentation","CustomDataset","10","0.0001","Res50","Sampler_res50_e10_lr0001_bs64_no","Adam","64","","0.9904761904761904","0.029118939451340555","0.9953125","0.02127215836662799","","","","","","","","","","","",""
"Sampler_res18_e5_lr0001","2022-03-03T06:45:08.000Z","1119","2022-03-03T07:03:47.000Z","2pqhqfqu","-","2022-03-03T07:03:47.000Z","","CustomAugmentation","CustomDataset","10","0.0001","Res18","Sampler_res18_e5_lr0001","Adam","64","","0.978042328042328","0.06927197315272386","0.99609375","0.018741699971724302","","","","","","","","","","","",""
"model/Sampler_res18_e20_lr0001_bs643","2022-03-03T06:13:20.000Z","765","2022-03-03T06:26:05.000Z","3hpn4ocs","-","2022-03-03T06:26:05.000Z","","CustomAugmentation","_3WaysDataset","5","0.0001","Res18_3MultiLabel","Sampler_res18_e20_lr0001_bs64","Adam","64","False","","","","","0.8351873536299765","0.8050351288056206","0.9818501170960188","0.4622331992635187","0.5280733597728441","0.04028536800189682","0.860156238079071","0.878125011920929","0.992968738079071","0.4267464742064476","0.5116303265094757","0.029639497958123685"
"Sampler_res50_e20_lr0001_bs64","2022-03-03T06:00:16.000Z","2671","2022-03-03T06:44:47.000Z","19wif22e","-","2022-03-03T06:44:47.000Z","","CustomAugmentation","CustomDataset","20","0.0001","Res50","Sampler_res50_e20_lr0001_bs64","Adam","64","","0.9843915343915344","0.0489666041961508","0.9984375","0.013661524769850076","","","","","","","","","","","",""
"Sampler_res50_e20_lr0001","2022-03-03T05:09:37.000Z","2907","2022-03-03T05:58:04.000Z","3ob3e69l","-","2022-03-03T05:58:04.000Z","","CustomAugmentation","CustomDataset","20","0.0001","Res50","Sampler_res50_e20_lr0001","Adam","64","","0.983862433862434","0.048343290896470645","0.978125","0.06383987702429295","","","","","","","","","","","",""
"Sampler_res18_e5_lr0001","2022-03-03T04:18:18.000Z","5876","2022-03-03T05:56:14.000Z","2wlmt9rv","-","2022-03-03T05:56:14.000Z","","CustomAugmentation","CustomDataset","20","0.0001","Res18","Sampler_res18_e5_lr0001","Adam","64","","0.9637566137566138","0.10961342206853984","0.99453125","0.025746131816413255","","","","","","","","","","","",""
"efficientnet_b7_e10_lr001_nocrop","2022-03-02T15:07:47.000Z","10902","2022-03-02T18:09:29.000Z","c3uuhcsm","-","2022-03-02T18:09:29.000Z","","BaseAugmentation","MaskSplitByProfileDataset","10","0.0001","efficientnet_b7","efficientnet_b7_e10_lr001_nocrop","Adam","4","","0.8831967213114754","0.5412277456502171","0.9875","0.04601385514251888","","","","","","","","","","","",""
"efficientnet_b7_e10_lr001_nocrop","2022-03-02T14:47:24.000Z","1029","2022-03-02T15:04:33.000Z","3cea894s","-","2022-03-02T15:04:33.000Z","","BaseAugmentation","MaskSplitByProfileDataset","10","0.0001","efficientnet_b7","efficientnet_b7_e10_lr001_nocrop","Adam","4","","","","0.9375","0.23198761623352765","","","","","","","","","","","",""
"res50_e5_lr001_nocrop","2022-03-02T14:16:21.000Z","1457","2022-03-02T14:40:38.000Z","1glye0me","-","2022-03-02T14:40:38.000Z","","BaseAugmentation","MaskSplitByProfileDataset","5","0.0001","Res50","res50_e5_lr001_nocrop","Adam","64","","0.9092505854800936","0.3134356668429836","0.99609375","0.014686761726625265","","","","","","","","","","","",""
